gender,field_choices,health_condition,exam_result
Male,"Business,Social Science",Visual Impairment,96
Female,Arts,Physical Disability,92
Male,"Health Science,Natural Science",Visual Impairment,83
Male,Social Science,Visual Impairment,57
Male,"Education,Health Science",Physical Disability,92
Male,Health Science,Visual Impairment,66
Female,"Health Science,Sciences",Hearing Impairment,68
Male,"Arts,Computer Science,Natural Science",Hearing Impairment,86
Female,Computer Science,Visual Impairment,56
Female,"Law,Natural Science",Visual Impairment,95
Male,"Natural Science,Social Science,Arts",Physical Disability,56
Female,Engineering,None,85
Female,Business,None,69
Male,"Business,Social Science,Law",Hearing Impairment,99
Female,"Engineering,Education,Agriculture",None,72
Male,"Computer Science,Sciences,Social Science",Visual Impairment,66
Male,"Engineering,Medicine",None,93
Male,Agriculture,Physical Disability,71
Male,"Computer Science,Health Science,Law",Hearing Impairment,97
Male,"Social Science,Engineering,Agriculture",Visual Impairment,52
Male,"Agriculture,Business,Natural Science",None,75
Female,Agriculture,Physical Disability,91
Male,"Agriculture,Education,Medicine",None,72
Male,Business,None,62
Male,"Agriculture,Arts,Computer Science",Physical Disability,88
Female,"Natural Science,Medicine",Physical Disability,87
Female,"Arts,Business,Natural Science",Physical Disability,87
Female,Education,Visual Impairment,95
Male,Health Science,Visual Impairment,54
Male,"Law,Sciences",Visual Impairment,88
Male,"Natural Science,Medicine,Computer Science",Visual Impairment,61
Female,Health Science,Visual Impairment,60
Female,"Health Science,Education,Computer Science",Physical Disability,53
Female,"Law,Health Science,Natural Science",Hearing Impairment,59
Male,Computer Science,Visual Impairment,69
Male,Agriculture,None,59
Male,Arts,None,65
Male,"Law,Business",Visual Impairment,89
Male,"Computer Science,Engineering,Law",Hearing Impairment,96
Male,Medicine,Visual Impairment,80
Female,"Agriculture,Social Science",Visual Impairment,74
Male,"Natural Science,Medicine",Hearing Impairment,92
Male,"Agriculture,Health Science",Physical Disability,53
Male,Business,Visual Impairment,93
Male,Agriculture,Hearing Impairment,69
Female,"Computer Science,Social Science",Hearing Impairment,92
Female,"Sciences,Engineering",None,63
Female,Business,Visual Impairment,76
Female,Law,Visual Impairment,95
Female,Education,Visual Impairment,81
Male,"Computer Science,Business,Natural Science",None,72
Female,Health Science,Physical Disability,68
Male,"Social Science,Health Science,Business",Physical Disability,64
Male,"Sciences,Computer Science",Visual Impairment,82
Male,Business,Visual Impairment,86
Female,Social Science,Hearing Impairment,62
Male,Sciences,Hearing Impairment,96
Female,"Arts,Social Science,Health Science",Hearing Impairment,60
Female,Sciences,Physical Disability,70
Male,Education,Visual Impairment,96
Male,"Arts,Sciences",Visual Impairment,100
Female,"Sciences,Computer Science,Medicine",Hearing Impairment,56
Male,"Natural Science,Sciences,Medicine",Visual Impairment,93
Female,Medicine,Visual Impairment,90
Male,"Natural Science,Sciences",Hearing Impairment,94
Female,"Health Science,Education,Arts",None,92
Female,Law,Hearing Impairment,67
Female,Medicine,Hearing Impairment,85
Female,Natural Science,None,83
Male,Medicine,None,81
Female,Social Science,Hearing Impairment,56
Female,Education,Visual Impairment,92
Male,"Health Science,Computer Science,Arts",Hearing Impairment,80
Female,Social Science,Hearing Impairment,68
Male,"Social Science,Law",None,96
Female,"Health Science,Sciences,Engineering",Hearing Impairment,77
Female,Engineering,None,61
Female,"Natural Science,Computer Science,Agriculture",Visual Impairment,85
Female,"Business,Computer Science",Visual Impairment,74
Female,"Engineering,Arts,Social Science",Hearing Impairment,96
Male,"Computer Science,Law,Sciences",Visual Impairment,58
Male,"Arts,Social Science",Hearing Impairment,66
Female,"Law,Computer Science,Sciences",None,76
Male,"Agriculture,Sciences",Physical Disability,68
Female,"Law,Sciences,Business",None,54
Female,"Computer Science,Health Science,Medicine",Visual Impairment,88
Male,"Sciences,Arts,Agriculture",Hearing Impairment,53
Female,"Natural Science,Medicine",Hearing Impairment,87
Female,Business,None,76
Male,Sciences,Visual Impairment,90
Female,Education,Visual Impairment,61
Male,Agriculture,Hearing Impairment,70
Male,Law,Hearing Impairment,78
Female,"Engineering,Agriculture,Arts",Hearing Impairment,89
Male,Education,Physical Disability,94
Male,"Education,Sciences",Physical Disability,76
Male,"Health Science,Computer Science,Natural Science",None,75
Male,Social Science,Hearing Impairment,50
Male,"Health Science,Agriculture,Computer Science",Visual Impairment,55
Female,"Health Science,Agriculture,Education",None,97
Male,"Business,Law,Medicine",Physical Disability,83
Female,Sciences,Physical Disability,76
Female,"Health Science,Education",Visual Impairment,83
Female,"Education,Computer Science,Health Science",Physical Disability,70
Female,"Social Science,Computer Science",Physical Disability,84
Male,"Law,Natural Science",Visual Impairment,51
Female,Medicine,Hearing Impairment,54
Male,Agriculture,Hearing Impairment,85
Female,"Law,Social Science",Visual Impairment,96
Female,Agriculture,Physical Disability,54
Male,"Natural Science,Engineering,Arts",None,94
Female,"Business,Sciences,Natural Science",Hearing Impairment,57
Female,"Law,Social Science,Engineering",None,83
Male,Computer Science,Physical Disability,66
Female,"Engineering,Computer Science",Visual Impairment,92
Female,"Engineering,Computer Science,Arts",None,82
Male,"Computer Science,Medicine,Engineering",Physical Disability,55
Female,"Agriculture,Education,Engineering",Hearing Impairment,50
Female,"Business,Arts,Law",Hearing Impairment,59
Female,"Social Science,Engineering,Computer Science",Visual Impairment,61
Male,"Arts,Computer Science,Medicine",Physical Disability,84
Female,"Business,Sciences",None,89
Male,Engineering,Hearing Impairment,91
Male,"Arts,Law,Business",Hearing Impairment,97
Male,"Social Science,Health Science",Visual Impairment,55
Male,Social Science,None,60
Male,"Engineering,Computer Science",Visual Impairment,88
Male,"Computer Science,Business,Law",Hearing Impairment,90
Female,Health Science,None,61
Female,"Medicine,Social Science,Engineering",None,58
Female,Social Science,Hearing Impairment,65
Male,"Law,Sciences,Business",Physical Disability,79
Male,"Business,Law,Health Science",Physical Disability,88
Female,"Computer Science,Natural Science,Social Science",Visual Impairment,81
Female,"Agriculture,Social Science,Education",None,77
Female,"Medicine,Law",None,73
Male,"Medicine,Health Science",Visual Impairment,65
Female,Medicine,None,63
Female,"Arts,Health Science",None,52
Male,"Arts,Law",Visual Impairment,85
Male,"Business,Medicine",Physical Disability,87
Male,Education,None,72
Male,"Education,Business",None,88
Male,"Sciences,Social Science",None,83
Female,"Natural Science,Arts,Business",Hearing Impairment,64
Male,Health Science,None,56
Male,"Engineering,Arts",Physical Disability,82
Female,Social Science,None,69
Male,"Agriculture,Sciences",Hearing Impairment,81
Male,Social Science,Visual Impairment,84
Female,"Sciences,Arts",Visual Impairment,60
Female,Education,Physical Disability,88
Male,"Engineering,Arts",None,59
Female,"Sciences,Law",Physical Disability,55
Male,"Sciences,Health Science",Physical Disability,51
Male,"Social Science,Computer Science,Law",Hearing Impairment,99
Female,"Engineering,Business,Social Science",Visual Impairment,51
Female,Arts,Physical Disability,85
Male,"Engineering,Health Science",Hearing Impairment,91
Male,Social Science,Physical Disability,95
Female,"Social Science,Engineering",Visual Impairment,92
Female,Computer Science,Visual Impairment,61
Male,"Sciences,Medicine,Law",Physical Disability,94
Female,"Health Science,Social Science,Sciences",None,70
Female,"Health Science,Sciences,Arts",Visual Impairment,72
Male,Law,Hearing Impairment,77
Male,"Health Science,Law,Sciences",None,69
Female,"Natural Science,Education,Agriculture",Physical Disability,59
Female,Health Science,Visual Impairment,61
Female,"Social Science,Sciences,Education",Visual Impairment,86
Male,"Education,Health Science",Hearing Impairment,97
Male,"Health Science,Social Science",Hearing Impairment,53
Female,"Law,Arts",Hearing Impairment,67
Female,"Health Science,Engineering",Physical Disability,64
Male,"Sciences,Engineering",Physical Disability,80
Female,Engineering,Hearing Impairment,74
Female,Agriculture,Visual Impairment,94
Female,"Social Science,Arts",Visual Impairment,68
Female,"Computer Science,Law,Medicine",Hearing Impairment,51
Female,Agriculture,Hearing Impairment,80
Female,"Arts,Education,Business",None,76
Male,"Law,Natural Science",Hearing Impairment,100
Male,"Law,Engineering,Computer Science",Physical Disability,81
Female,Education,Physical Disability,52
Male,Law,Visual Impairment,59
Female,"Health Science,Agriculture",Hearing Impairment,50
Male,Sciences,Hearing Impairment,73
Female,"Natural Science,Agriculture",None,55
Female,"Social Science,Education",Physical Disability,68
Male,Sciences,Hearing Impairment,87
Female,"Social Science,Arts,Law",None,100
Male,"Social Science,Education",Visual Impairment,72
Male,"Natural Science,Sciences,Arts",Physical Disability,81
Male,Natural Science,Hearing Impairment,83
Male,Sciences,Hearing Impairment,96
Male,"Engineering,Natural Science",Hearing Impairment,71
Male,"Computer Science,Health Science",None,62
Female,Sciences,Hearing Impairment,68
Female,Medicine,None,100
Male,Arts,Visual Impairment,71
Female,"Sciences,Law",None,83
Male,Medicine,Visual Impairment,58
Male,"Social Science,Education,Sciences",Physical Disability,63
Female,Law,None,71
Female,"Health Science,Agriculture,Law",Hearing Impairment,62
Female,Sciences,None,92
Male,"Agriculture,Health Science,Sciences",Visual Impairment,93
Male,"Medicine,Arts,Agriculture",Visual Impairment,91
Male,"Computer Science,Social Science",None,77
Female,"Law,Business,Engineering",Hearing Impairment,66
Female,"Computer Science,Law,Education",None,75
Male,Health Science,None,50
Male,"Engineering,Agriculture",Physical Disability,68
Male,"Agriculture,Education",Visual Impairment,63
Male,"Natural Science,Education",None,85
Female,"Arts,Sciences",Hearing Impairment,86
Male,"Health Science,Medicine",Physical Disability,84
Male,"Natural Science,Law,Engineering",None,99
Female,"Social Science,Law",None,63
Female,"Agriculture,Education",Hearing Impairment,54
Male,"Computer Science,Sciences,Business",None,88
Female,Education,Physical Disability,65
Female,Health Science,Physical Disability,97
Male,Social Science,None,99
Male,"Computer Science,Business,Law",None,85
Male,Sciences,None,60
Female,"Law,Health Science,Education",Visual Impairment,92
Female,"Sciences,Computer Science",None,80
Male,"Sciences,Health Science",Hearing Impairment,75
Male,Business,Physical Disability,95
Male,"Sciences,Arts,Health Science",Physical Disability,67
Male,Engineering,Hearing Impairment,90
Female,"Health Science,Computer Science,Arts",Hearing Impairment,77
Male,"Arts,Social Science",Visual Impairment,95
Female,"Arts,Business",None,60
Female,"Engineering,Agriculture",Physical Disability,90
Female,"Business,Computer Science,Engineering",Hearing Impairment,79
Male,"Health Science,Natural Science",Hearing Impairment,89
Male,Health Science,Physical Disability,94
Female,Health Science,None,92
Female,"Agriculture,Health Science",Visual Impairment,89
Male,Education,Physical Disability,73
Female,Education,Visual Impairment,61
Male,"Arts,Medicine",Hearing Impairment,57
Male,Agriculture,None,93
Male,"Natural Science,Business",None,92
Female,"Social Science,Health Science,Law",Hearing Impairment,100
Male,"Arts,Education",Visual Impairment,68
Male,Law,Physical Disability,69
Male,"Sciences,Engineering",Physical Disability,81
Female,"Natural Science,Sciences",Hearing Impairment,58
Male,"Engineering,Social Science",None,84
Female,"Computer Science,Natural Science,Social Science",Hearing Impairment,92
Male,"Agriculture,Sciences,Law",Visual Impairment,95
Male,"Agriculture,Arts",Hearing Impairment,97
Male,"Health Science,Social Science",None,54
Female,"Medicine,Engineering,Agriculture",Visual Impairment,90
Female,"Business,Education,Agriculture",Physical Disability,95
Female,"Social Science,Computer Science",None,90
Female,"Health Science,Agriculture",Hearing Impairment,98
Male,"Law,Education",None,90
Female,"Natural Science,Education",Visual Impairment,90
Male,"Medicine,Sciences",Physical Disability,88
Female,"Social Science,Medicine,Arts",Hearing Impairment,77
Male,"Medicine,Agriculture",Visual Impairment,62
Male,"Business,Arts",Visual Impairment,67
Female,Social Science,Visual Impairment,94
Male,Sciences,Hearing Impairment,85
Male,"Engineering,Arts,Health Science",Hearing Impairment,63
Female,"Health Science,Law,Agriculture",Physical Disability,75
Female,Medicine,None,92
Female,"Medicine,Engineering",Visual Impairment,98
Female,"Medicine,Law,Education",None,77
Female,"Agriculture,Arts",Visual Impairment,66
Female,Business,Visual Impairment,99
Female,"Engineering,Agriculture",Hearing Impairment,76
Female,Natural Science,Visual Impairment,59
Male,Natural Science,Visual Impairment,59
Female,"Engineering,Agriculture",Physical Disability,86
Female,"Natural Science,Health Science",None,50
Male,Agriculture,Physical Disability,83
Male,"Arts,Law,Computer Science",Physical Disability,78
Male,Arts,Hearing Impairment,88
Male,"Education,Medicine",Visual Impairment,71
Female,"Sciences,Education",Physical Disability,84
Female,"Agriculture,Sciences,Computer Science",Visual Impairment,68
Female,"Engineering,Computer Science",None,69
Male,"Social Science,Sciences,Agriculture",Physical Disability,51
Female,Law,Physical Disability,93
Female,Social Science,Visual Impairment,98
Female,Education,None,51
Male,Engineering,Hearing Impairment,91
Female,"Social Science,Law",Visual Impairment,85
Female,"Computer Science,Engineering",Physical Disability,59
Female,Engineering,None,70
Female,"Agriculture,Arts",None,71
Male,"Arts,Health Science",Visual Impairment,86
Male,"Sciences,Agriculture",Hearing Impairment,77
Female,"Business,Natural Science",Hearing Impairment,60
Male,Education,Physical Disability,91
Female,Computer Science,Visual Impairment,99
Male,"Computer Science,Social Science",Hearing Impairment,54
Male,"Social Science,Engineering",Hearing Impairment,66
Female,"Health Science,Social Science",Physical Disability,59
Male,"Law,Social Science,Business",None,87
Female,"Natural Science,Medicine,Sciences",Physical Disability,78
Female,"Law,Social Science",Hearing Impairment,54
Female,"Arts,Sciences,Computer Science",None,97
Female,Health Science,Hearing Impairment,100
Female,"Law,Medicine",Visual Impairment,71
Female,"Business,Agriculture",Physical Disability,89
Male,"Education,Arts",None,73
Female,"Agriculture,Education,Engineering",Hearing Impairment,67
Female,"Natural Science,Engineering",Visual Impairment,79
Female,"Law,Natural Science,Medicine",Hearing Impairment,77
Female,Natural Science,Visual Impairment,73
Female,"Sciences,Medicine,Engineering",Hearing Impairment,60
Female,Law,Visual Impairment,79
Male,"Medicine,Health Science",Visual Impairment,100
Male,"Natural Science,Business,Health Science",Physical Disability,85
Male,Social Science,Hearing Impairment,88
Male,"Arts,Agriculture,Computer Science",Visual Impairment,61
Female,"Arts,Health Science,Business",Hearing Impairment,64
Male,Computer Science,Visual Impairment,79
Male,"Agriculture,Computer Science",Physical Disability,90
Male,"Engineering,Social Science",Visual Impairment,96
Female,"Law,Computer Science,Health Science",Hearing Impairment,63
Female,Social Science,Hearing Impairment,86
Female,Engineering,Physical Disability,91
Female,"Health Science,Natural Science,Arts",Visual Impairment,54
Male,"Computer Science,Agriculture,Education",Hearing Impairment,53
Male,Computer Science,Physical Disability,94
Female,Sciences,None,77
Female,"Agriculture,Education",None,56
Female,"Agriculture,Arts,Sciences",None,78
Female,Engineering,Hearing Impairment,73
Female,"Business,Education,Engineering",Visual Impairment,87
Male,Social Science,None,52
Female,"Health Science,Engineering",Physical Disability,89
Male,"Education,Sciences,Law",None,87
Female,Social Science,Physical Disability,55
Male,"Law,Natural Science",None,58
Male,"Agriculture,Social Science,Engineering",Physical Disability,97
Female,"Natural Science,Business",Hearing Impairment,69
Male,Education,Physical Disability,92
Male,"Arts,Business,Sciences",Physical Disability,95
Male,"Education,Natural Science,Law",Hearing Impairment,70
Male,"Computer Science,Natural Science",Visual Impairment,58
Female,"Natural Science,Arts",Visual Impairment,64
Female,Health Science,Physical Disability,97
Male,"Education,Social Science,Health Science",None,59
Male,"Education,Arts,Agriculture",Visual Impairment,94
Male,"Law,Agriculture,Arts",Hearing Impairment,54
Female,Computer Science,Visual Impairment,58
Male,Health Science,None,66
Female,Social Science,Hearing Impairment,88
Female,Arts,Hearing Impairment,89
Female,Business,Physical Disability,85
Female,"Agriculture,Education",Hearing Impairment,72
Male,Medicine,Visual Impairment,79
Male,Health Science,Physical Disability,84
Female,Business,Physical Disability,53
Female,"Law,Social Science,Arts",None,52
Female,Computer Science,None,66
Male,"Arts,Health Science",None,59
Female,Business,Physical Disability,92
Female,Computer Science,Visual Impairment,82
Male,"Sciences,Business,Medicine",Visual Impairment,57
Female,"Natural Science,Education",Physical Disability,83
Male,"Medicine,Sciences",Visual Impairment,79
Male,"Medicine,Social Science",None,89
Female,Computer Science,Physical Disability,56
Female,"Agriculture,Natural Science,Health Science",Physical Disability,53
Male,Computer Science,Visual Impairment,85
Male,Social Science,Physical Disability,90
Female,"Education,Health Science,Medicine",None,82
Female,"Law,Sciences,Medicine",Visual Impairment,83
Female,"Computer Science,Engineering",Visual Impairment,51
Male,"Education,Social Science",Hearing Impairment,82
Female,Education,Physical Disability,67
Female,Business,Visual Impairment,60
Male,Natural Science,Physical Disability,95
Male,"Health Science,Business",Visual Impairment,57
Male,"Natural Science,Social Science,Sciences",Hearing Impairment,75
Female,"Medicine,Education",Visual Impairment,58
Female,Social Science,None,53
Male,"Business,Law",Hearing Impairment,62
Male,Business,None,98
Male,"Engineering,Law",Physical Disability,81
Male,"Law,Health Science,Engineering",Visual Impairment,61
Male,Health Science,None,83
Female,"Medicine,Natural Science,Social Science",None,70
Male,Health Science,None,77
Male,Arts,Hearing Impairment,77
Female,Education,None,75
Male,Education,None,92
Male,"Education,Arts,Sciences",Hearing Impairment,77
Female,Arts,Hearing Impairment,56
Female,"Law,Computer Science",Hearing Impairment,69
Female,"Natural Science,Law",Visual Impairment,88
Male,"Health Science,Social Science,Law",Visual Impairment,94
Male,Education,Hearing Impairment,74
Male,"Agriculture,Arts",Hearing Impairment,55
Male,Agriculture,None,85
Female,"Sciences,Arts,Education",None,97
Male,"Education,Sciences",Hearing Impairment,67
Male,"Agriculture,Business,Arts",Hearing Impairment,69
Male,Social Science,None,63
Male,"Natural Science,Education",None,83
Male,Law,Hearing Impairment,63
Female,"Sciences,Agriculture",Hearing Impairment,65
Male,Sciences,Physical Disability,64
Female,"Medicine,Law,Engineering",Hearing Impairment,79
Female,"Social Science,Agriculture,Law",None,78
Male,Sciences,None,99
Female,Arts,Physical Disability,69
Male,"Computer Science,Business",Physical Disability,72
Male,"Sciences,Computer Science",None,100
Male,"Education,Natural Science,Medicine",Physical Disability,88
Female,"Medicine,Social Science",Visual Impairment,67
Male,"Engineering,Law",None,54
Female,"Arts,Law",Hearing Impairment,58
Female,Engineering,Hearing Impairment,76
Male,"Engineering,Social Science",Hearing Impairment,51
Male,"Natural Science,Social Science,Engineering",None,52
Male,"Sciences,Natural Science,Business",Hearing Impairment,98
Male,Business,Physical Disability,77
Female,"Law,Sciences,Arts",None,65
Female,"Arts,Health Science,Sciences",None,86
Male,"Medicine,Arts",Physical Disability,60
Male,"Social Science,Sciences,Medicine",Visual Impairment,72
Male,Social Science,Physical Disability,74
Male,Sciences,Physical Disability,63
Male,"Education,Health Science,Computer Science",Visual Impairment,61
Male,Education,Visual Impairment,58
Female,"Natural Science,Computer Science,Medicine",Physical Disability,61
Female,Law,None,100
Female,"Business,Health Science,Natural Science",None,82
Female,"Medicine,Law",Hearing Impairment,67
Female,"Sciences,Education",None,88
Male,"Engineering,Natural Science,Business",Hearing Impairment,87
Female,Arts,None,79
Female,"Engineering,Business,Law",None,83
Female,"Business,Computer Science",None,96
Male,"Education,Natural Science",Hearing Impairment,61
Female,Natural Science,Physical Disability,71
Male,"Social Science,Law",Visual Impairment,74
Female,"Arts,Agriculture",Physical Disability,72
Female,Education,None,92
Female,"Business,Computer Science,Education",Visual Impairment,88
Male,"Arts,Engineering",Physical Disability,97
Male,Health Science,None,89
Male,"Agriculture,Arts",Visual Impairment,91
Female,"Medicine,Natural Science,Sciences",Hearing Impairment,98
Female,"Health Science,Sciences",Visual Impairment,50
Male,Arts,Hearing Impairment,57
Male,"Arts,Sciences",Physical Disability,81
Female,Medicine,Hearing Impairment,64
Male,"Agriculture,Health Science,Natural Science",Visual Impairment,96
Female,"Health Science,Engineering,Education",Hearing Impairment,100
Male,"Education,Law",Hearing Impairment,85
Female,"Education,Health Science",None,95
Male,"Business,Education",Visual Impairment,84
Male,"Law,Arts",Hearing Impairment,86
Female,Sciences,Physical Disability,79
Male,Computer Science,Visual Impairment,63
Male,Social Science,Visual Impairment,89
Female,Law,Physical Disability,83
Male,"Sciences,Natural Science",Hearing Impairment,58
Male,"Computer Science,Social Science,Education",Hearing Impairment,87
Male,"Law,Agriculture,Education",None,82
Male,"Engineering,Social Science",Visual Impairment,100
Male,Agriculture,Physical Disability,54
Male,Agriculture,Visual Impairment,82
Female,Business,Visual Impairment,66
Male,"Medicine,Education",Visual Impairment,74
Female,Arts,Hearing Impairment,100
Female,"Sciences,Medicine,Computer Science",Physical Disability,62
Female,"Law,Arts",None,68
Female,"Law,Computer Science",Hearing Impairment,92
Male,"Social Science,Business",Physical Disability,92
Female,"Business,Law,Health Science",Hearing Impairment,80
Male,"Natural Science,Computer Science,Business",Hearing Impairment,59
Male,Business,Hearing Impairment,74
Male,Medicine,Physical Disability,79
Female,"Business,Engineering,Natural Science",Physical Disability,98
Male,"Education,Sciences,Social Science",None,70
Female,"Natural Science,Sciences,Arts",Hearing Impairment,53
Male,"Agriculture,Law",Physical Disability,60
Female,Health Science,Hearing Impairment,89
Male,Social Science,Visual Impairment,87
Male,Agriculture,Hearing Impairment,76
Female,"Education,Health Science,Computer Science",None,63
Female,Social Science,Physical Disability,88
Female,Social Science,Visual Impairment,91
Male,"Business,Agriculture,Education",Visual Impairment,95
Female,"Computer Science,Health Science,Medicine",Hearing Impairment,66
Female,"Law,Computer Science",Visual Impairment,83
Male,"Education,Sciences,Natural Science",None,50
Female,"Engineering,Business,Natural Science",Hearing Impairment,85
Female,"Sciences,Engineering,Computer Science",None,89
Female,Medicine,None,63
Female,"Natural Science,Education,Sciences",Hearing Impairment,84
Female,Medicine,Visual Impairment,61
Female,"Business,Medicine",None,65
Female,"Health Science,Natural Science,Social Science",Hearing Impairment,92
Female,Arts,Physical Disability,56
Male,Sciences,None,90
Female,"Medicine,Agriculture",Physical Disability,59
Male,"Natural Science,Computer Science",Physical Disability,57
Male,"Natural Science,Medicine,Arts",Physical Disability,93
Female,"Arts,Engineering",Visual Impairment,78
Male,Education,Physical Disability,72
Female,Education,Visual Impairment,70
Male,Sciences,Visual Impairment,73
Male,"Natural Science,Computer Science,Arts",Visual Impairment,100
Female,"Engineering,Business,Law",Physical Disability,87
Male,Agriculture,Physical Disability,89
Female,"Social Science,Engineering",None,92
Male,Medicine,None,80
Male,"Education,Law",Hearing Impairment,68
Male,"Agriculture,Medicine,Social Science",None,86
Male,Education,Hearing Impairment,65
Male,"Computer Science,Law",None,92
Male,"Education,Natural Science",Physical Disability,90
Male,"Agriculture,Education",None,83
Male,Natural Science,Visual Impairment,90
Female,Natural Science,Visual Impairment,78
Female,"Natural Science,Medicine",Physical Disability,98
Male,"Social Science,Agriculture",Physical Disability,99
Female,"Business,Arts",Hearing Impairment,73
Male,Education,Visual Impairment,84
Male,Health Science,Physical Disability,63
Male,"Health Science,Business",Physical Disability,82
Female,"Sciences,Engineering,Social Science",Visual Impairment,74
Female,Agriculture,Hearing Impairment,83
Female,"Engineering,Business",Physical Disability,80
Male,"Law,Education",Visual Impairment,94
Male,"Education,Social Science,Business",Hearing Impairment,55
Male,"Computer Science,Agriculture,Sciences",Hearing Impairment,57
Male,Arts,Physical Disability,97
Female,"Business,Law",Visual Impairment,88
Male,"Medicine,Health Science",Hearing Impairment,53
Male,"Engineering,Natural Science",Physical Disability,71
Female,"Social Science,Law,Medicine",None,68
Male,Agriculture,Physical Disability,86
Female,Sciences,Visual Impairment,94
Female,Engineering,Visual Impairment,95
Female,"Medicine,Law",Visual Impairment,56
Male,Medicine,Visual Impairment,72
Male,"Computer Science,Education,Law",Hearing Impairment,83
Female,"Arts,Medicine",None,85
Female,Education,None,58
Female,"Medicine,Law,Agriculture",Visual Impairment,84
Male,"Engineering,Education,Arts",Visual Impairment,70
Female,Engineering,Physical Disability,67
Male,"Engineering,Business",None,65
Female,Arts,Hearing Impairment,75
Male,"Arts,Agriculture,Business",Physical Disability,88
Female,"Natural Science,Law,Business",None,59
Male,"Business,Health Science",Physical Disability,84
Female,"Law,Engineering",Hearing Impairment,78
Female,"Engineering,Medicine",Physical Disability,52
Female,"Health Science,Agriculture",Hearing Impairment,57
Male,"Natural Science,Business,Agriculture",Visual Impairment,71
Female,Engineering,Hearing Impairment,84
Female,Social Science,Physical Disability,64
Male,"Business,Agriculture,Sciences",Visual Impairment,76
Female,"Arts,Natural Science",None,91
Male,"Natural Science,Sciences,Computer Science",Visual Impairment,71
Female,"Medicine,Sciences,Natural Science",Visual Impairment,93
Male,Engineering,Physical Disability,83
Male,"Business,Agriculture,Medicine",None,68
Female,"Arts,Computer Science,Health Science",Hearing Impairment,94
Female,"Sciences,Agriculture,Engineering",Visual Impairment,60
Male,"Medicine,Agriculture",None,53
Male,"Law,Natural Science",None,59
Female,"Business,Arts,Social Science",Physical Disability,58
Male,"Medicine,Social Science,Computer Science",Physical Disability,94
Male,"Engineering,Health Science",None,90
Male,"Arts,Health Science,Business",None,91
Female,"Medicine,Engineering",Hearing Impairment,63
Male,Law,Hearing Impairment,98
Male,Business,None,56
Male,"Arts,Business,Social Science",Physical Disability,68
Male,"Law,Computer Science,Medicine",None,70
Female,"Law,Engineering",Physical Disability,97
Female,Education,None,70
Male,"Arts,Natural Science",Physical Disability,67
Male,"Arts,Social Science",Hearing Impairment,84
Female,"Law,Natural Science,Agriculture",Physical Disability,98
Male,Sciences,Physical Disability,68
Female,"Arts,Medicine",Hearing Impairment,98
Female,Social Science,Hearing Impairment,54
Female,"Education,Arts,Medicine",None,79
Female,Agriculture,Hearing Impairment,63
Female,"Engineering,Social Science,Business",Visual Impairment,64
Male,"Medicine,Health Science",None,90
Male,"Health Science,Sciences,Agriculture",Hearing Impairment,70
Female,"Natural Science,Law",Visual Impairment,83
Male,"Sciences,Natural Science",None,96
Female,Medicine,Visual Impairment,94
Male,"Agriculture,Medicine",None,75
Female,Arts,None,61
Male,Computer Science,Hearing Impairment,92
Male,Law,Hearing Impairment,83
Male,"Business,Computer Science,Agriculture",Hearing Impairment,76
Male,Natural Science,None,61
Female,"Agriculture,Computer Science",Physical Disability,73
Male,Social Science,None,87
Male,Agriculture,Hearing Impairment,63
Female,"Arts,Medicine,Business",None,80
Male,Engineering,None,50
Male,"Agriculture,Education,Computer Science",Visual Impairment,56
Female,Sciences,None,68
Female,Agriculture,None,52
Male,"Natural Science,Social Science,Arts",Hearing Impairment,70
Female,Law,Physical Disability,97
Female,Health Science,Hearing Impairment,73
Female,"Computer Science,Natural Science,Agriculture",Physical Disability,87
Male,Social Science,Visual Impairment,65
Female,Arts,Visual Impairment,56
Female,"Arts,Medicine",None,60
Male,"Business,Law,Sciences",Visual Impairment,97
Female,Social Science,None,75
Male,"Health Science,Natural Science",Hearing Impairment,70
Female,"Natural Science,Medicine,Sciences",Hearing Impairment,99
Female,"Law,Sciences",Physical Disability,92
Male,"Agriculture,Natural Science,Health Science",Hearing Impairment,95
Male,Natural Science,Hearing Impairment,71
Female,"Social Science,Natural Science,Engineering",Physical Disability,61
Male,Health Science,Hearing Impairment,81
Female,"Computer Science,Engineering,Agriculture",Physical Disability,99
Female,"Arts,Health Science,Medicine",None,99
Female,"Computer Science,Engineering",Visual Impairment,59
Male,Education,Visual Impairment,81
Female,"Medicine,Engineering,Sciences",Physical Disability,67
Male,"Education,Social Science,Computer Science",None,88
Female,"Computer Science,Business",Physical Disability,59
Male,Education,Physical Disability,86
Male,"Social Science,Engineering,Law",Visual Impairment,78
Female,"Engineering,Agriculture,Social Science",Visual Impairment,71
Female,"Engineering,Natural Science",Physical Disability,77
Female,"Medicine,Computer Science",Hearing Impairment,88
Male,Education,Visual Impairment,55
Female,"Engineering,Education",Hearing Impairment,76
Female,"Law,Engineering",None,93
Male,"Medicine,Social Science",None,100
Female,"Natural Science,Social Science",Hearing Impairment,62
Male,"Computer Science,Arts",Hearing Impairment,51
Male,"Education,Health Science,Medicine",None,87
Male,Medicine,Visual Impairment,61
Male,"Business,Computer Science,Natural Science",Visual Impairment,92
Male,"Natural Science,Computer Science",Physical Disability,94
Male,"Computer Science,Sciences",Visual Impairment,89
